name_id,name,type,related_id,related_name,relation
-D7-90-D7-91-D7-99-fn,אבי,forename,abi-fn,Abi,variant
-D7-90-D7-91-D7-99-fn,אבי,forename,avi-fn,Avi,variant
-D7-90-D7-91-D7-99-fn,אבי,forename,-D7-9C-D7-95-D7-99-sn,לוי,similar
-D7-90-D7-91-D7-99-fn,אבי,forename,-D7-90-D7-9C-D7-99-fn,אלי,similar
-D7-90-D7-91-D7-99-fn,אבי,forename,-D7-90-D7-AA-D7-99-fn,אתי,similar
-D7-90-D7-91-D7-99-fn,אבי,forename,-D7-90-D7-95-D7-A8-D7-99-fn,אורי,similar
-D7-90-D7-91-D7-99-fn,אבי,forename,-D7-A9-D7-99-fn,שי,similar
-D7-90-D7-95-D7-A8-D7-99-fn,אורי,forename,or-fn,Or,variant
-D7-90-D7-95-D7-A8-D7-99-fn,אורי,forename,uriel-fn,Uriel,variant
-D7-90-D7-95-D7-A8-D7-99-fn,אורי,forename,yuri-fn,Yuri,variant
-D7-90-D7-95-D7-A8-D7-99-fn,אורי,forename,-D7-9C-D7-95-D7-99-sn,לוי,similar
-D7-90-D7-95-D7-A8-D7-99-fn,אורי,forename,-D7-90-D7-91-D7-99-fn,אבי,similar
-D7-90-D7-95-D7-A8-D7-99-fn,אורי,forename,-D7-90-D7-9C-D7-99-fn,אלי,similar
-D7-90-D7-95-D7-A8-D7-99-fn,אורי,forename,-D7-90-D7-AA-D7-99-fn,אתי,similar
-D7-90-D7-97-D7-9E-D7-93-fn,אחמד,forename,ahmed-fn,Ahmed,variant
-D7-90-D7-97-D7-9E-D7-93-fn,אחמד,forename,ahmed-sn,Ahmed,variant
-D7-90-D7-97-D7-9E-D7-93-fn,אחמד,forename,amad-sn,عماد,variant
-D7-90-D7-97-D7-9E-D7-93-fn,אחמד,forename,-D7-9E-D7-97-D7-9E-D7-93-fn,מחמד,similar
-D7-90-D7-99-D7-A6-D7-99-D7-A7-fn,איציק,forename,-D7-99-D7-A6-D7-97-D7-A7-fn,יצחק,variant
-D7-90-D7-99-D7-A6-D7-99-D7-A7-fn,איציק,forename,-D7-99-D7-A6-D7-97-D7-A7-fn,יצחק,similar
-D7-90-D7-9C-D7-99-fn,אלי,forename,ely-fn,Ely,variant
-D7-90-D7-9C-D7-99-fn,אלי,forename,elie-fn,Elie,variant
-D7-90-D7-9C-D7-99-fn,אלי,forename,elias-fn,Elias,variant
-D7-90-D7-9C-D7-99-fn,אלי,forename,elijah-fn,Elijah,variant
-D7-90-D7-9C-D7-99-fn,אלי,forename,ali-fn,Ali,variant
-D7-90-D7-9C-D7-99-fn,אלי,forename,ali-sn,Ali,variant
-D7-90-D7-9C-D7-99-fn,אלי,forename,-D7-9C-D7-95-D7-99-sn,לוי,similar
-D7-90-D7-9C-D7-99-fn,אלי,forename,-D7-90-D7-91-D7-99-fn,אבי,similar
