name,name_id,country_code,country_name,count,pct_in_country,origin
אברהם,-D7-90-D7-91-D7-A8-D7-94-D7-9D-sn,IL,Israel,3611,0.010945,
אדרי,-D7-90-D7-93-D7-A8-D7-99-sn,IL,Israel,2742,0.008311,
אוחיון,-D7-90-D7-95-D7-97-D7-99-D7-95-D7-9F-sn,IL,Israel,3030,0.009184,
אוחנה,-D7-90-D7-95-D7-97-D7-A0-D7-94-sn,IL,Israel,2478,0.007511,
אזולאי,-D7-90-D7-96-D7-95-D7-9C-D7-90-D7-99-sn,IL,Israel,3362,0.01019,
אליהו,-D7-90-D7-9C-D7-99-D7-94-D7-95-sn,IL,Israel,1057,0.003204,
ביטון,-D7-91-D7-99-D7-98-D7-95-D7-9F-sn,IL,Israel,5736,0.017386,Sephardi Jewish (North African Hebrew surname tradition)
ביטון,-D7-91-D7-99-D7-98-D7-95-D7-9F-sn,PS,Palestine,2443,0.005597,Sephardi Jewish (North African Hebrew surname tradition)
בן דוד,-D7-91-D7-9F-20-D7-93-D7-95-D7-93-sn,IL,Israel,2240,0.00679,
גבאי,-D7-92-D7-91-D7-90-D7-99-sn,IL,Israel,2352,0.007129,
דהן,-D7-93-D7-94-D7-9F-sn,IL,Israel,4084,0.012379,
דוד,-D7-93-D7-95-D7-93-sn,IL,Israel,2613,0.00792,
וקנין,-D7-95-D7-A7-D7-A0-D7-99-D7-9F-sn,IL,Israel,2457,0.007447,
חדד,-D7-97-D7-93-D7-93-sn,IL,Israel,2818,0.008541,
חן,-D7-97-D7-9F-sn,IL,Israel,2330,0.007062,
יוסף,-D7-99-D7-95-D7-A1-D7-A3-sn,IL,Israel,2951,0.008945,
יצחק,-D7-99-D7-A6-D7-97-D7-A7-sn,IL,Israel,1225,0.003713,
כהן,-D7-9B-D7-94-D7-9F-sn,IL,Israel,30541,0.092571,Hebrew
כהן,-D7-9B-D7-94-D7-9F-sn,PS,Palestine,12422,0.028458,Hebrew
לוי,-D7-9C-D7-95-D7-99-sn,IL,Israel,18769,0.05689,Hebrew
